Clustering Analysis for Lattice (diag_style cluster) 
nglobal = 8000 
nprocs = 8 


--------------------------------------------------
Time = 1.292427 
ncluster = 358 
<N> = 22.3464 
<R> = 2.47043 
id ivalue dvalue size cx cy cz xlo xhi ylo yhi zlo zhi 
 1 35 0 62 1.30645 18.4839 19.7258 18 4 15 1 17 3
 2 28 0 50 4.06 0.26 1.42 2 6 18 3 18 4
 3 61 0 103 5.33981 17.6699 17.3301 0 11 12 1 12 1
 4 64 0 85 3.67059 1.31765 17.3294 0 8 19 5 14 1
 5 39 0 19 8.31579 18.8947 18.8947 7 10 17 0 17 1
 6 10 0 26 1.26923 2.15385 19.9615 0 2 1 4 18 3
 7 42 0 38 9.86842 0.263158 0.131579 8 12 18 3 17 2
 8 16 0 47 17.5532 18.766 19.617 15 1 15 2 17 2
 9 95 0 19 19.4737 3 0.947368 18 1 2 4 19 2
 10 8 0 30 3.16667 3.2 18.2333 1 6 1 5 17 0
 11 55 0 15 4.73333 3.8 1.4 3 6 3 5 0 3
 12 6 0 14 7 2.71429 1.14286 6 8 2 4 0 2
 13 83 0 125 10.928 2.616 3.632 7 15 19 7 18 8
 14 33 0 94 3.92553 6.03191 2.35106 0 8 2 10 19 6
 15 78 0 26 4.73077 5.76923 0.153846 3 7 4 7 18 2
 16 72 0 26 8.57692 4.34615 1.96154 7 10 2 6 0 4
 17 47 0 137 7.86861 5.69343 2.21168 4 11 1 9 15 8
 18 80 0 28 18.6786 4.32143 18.8214 17 1 3 6 18 0
 19 12 0 1 7 5 0 7 7 5 5 0 0
 20 69 0 1 0 6 0 0 0 6 6 0 0
 21 27 0 27 6.48148 6.96296 1.22222 5 8 5 9 19 4
 22 86 0 122 0.0163934 2.68852 2.92623 15 8 19 10 18 8
 23 77 0 1 4 7 0 4 4 7 7 0 0
 24 58 0 26 1.57692 8.92308 0.153846 0 3 7 11 18 3
 25 83 0 53 4.01887 10.3396 1.15094 2 6 8 13 18 4
 26 48 0 15 7.6 8.4 1.2 6 9 7 9 0 3
 27 45 0 40 9.85 10.35 3.825 8 12 8 12 0 7
 28 36 0 60 0.533333 6.85 4.01667 17 6 5 9 1 8
 29 18 0 10 6 19.9 2.9 5 7 19 1 2 4
 30 90 0 36 8.55556 0.583333 3.72222 7 10 19 3 2 6
 31 9 0 1 9 8 2 9 9 8 8 2 2
 32 27 0 29 1.72414 10.5862 2.75862 0 5 9 13 1 5
 33 99 0 32 2.71875 1.15625 5.25 0 4 0 2 3 8
 34 21 0 7 4.71429 2.28571 3.85714 4 6 1 3 3 5
 35 89 0 11 3.45455 4.63636 3.72727 3 4 3 7 3 5
 36 86 0 13 10.6154 4.84615 3.46154 9 12 3 6 3 4
 37 76 0 12 1.41667 8 4.08333 0 3 6 9 3 5
 38 87 0 13 5.46154 9.69231 4.53846 5 6 8 11 3 7
 39 36 0 43 0.790698 18.3953 4.83721 18 3 16 0 2 6
 40 79 0 43 3.16279 4.39535 5.53488 1 7 3 7 4 7
 42 39 0 26 5.88462 19.1154 6.15385 4 8 17 0 4 8
 43 74 0 26 5.69231 1.65385 6.53846 4 8 0 3 5 8
 44 40 0 24 0.916667 5.95833 6.70833 19 3 5 7 5 9
 45 8 0 42 10.6905 7.97619 5.02381 8 13 6 11 3 7
 46 3 0 32 1.34375 8.75 6.375 19 3 7 10 5 8
 47 94 0 70 0.614286 19.7 8.3 18 4 17 2 6 11
 48 90 0 15 2.53333 19.4 7.26667 1 4 18 1 6 8
 49 44 0 55 19.3091 2.96364 8.23636 17 2 0 6 6 10
 50 15 0 13 18.0769 4.38462 6.30769 17 0 3 6 5 7
 51 50 0 59 5.64407 6.89831 8.28814 3 8 3 11 6 11
 52 43 0 15 18.1333 5.26667 4.8 17 0 4 7 4 6
 53 19 0 1 6 9 6 6 6 9 9 6 6
 54 94 0 39 6.84615 11 5.46154 5 8 9 13 3 8
 55 89 0 2 7.5 0 7.5 7 8 0 0 7 8
 56 48 0 49 8.97959 18.1429 9.44898 7 11 16 1 7 12
 57 77 0 25 10.36 0 7.16 8 12 18 2 5 9
 58 43 0 40 4.575 2.15 9.15 3 6 0 5 7 11
 59 72 0 15 7.73333 8.26667 8.66667 6 9 7 10 7 10
 60 65 0 27 9.85185 9.81481 8 8 12 8 12 7 9
 61 10 0 51 3.54902 4.96078 9.88235 0 7 1 8 8 12
 62 22 0 21 7.71429 3.38095 9.47619 6 9 2 5 8 11
 63 57 0 43 10.5349 5.48837 8.30233 9 13 3 8 6 10
